557,"Here are Thursday's biggest analyst calls: Apple, Amazon, Tesla, Palantir, DocuSign, Exxon &amp; more  https://t.co/QPN8Gwl7Uh"
259,"Buy Las Vegas Sands as travel to Singapore builds, Wells Fargo says  https://t.co/fLS2w57iCz"
630,"Piper Sandler downgrades DocuSign to sell, citing elevated risks amid CEO transition  https://t.co/1EmtywmYpr"
242,"Analysts react to Tesla's latest earnings, break down what's next for electric car maker  https://t.co/kwhoE6W06u"
845,"Netflix and its peers are set for a return to growth, analysts say, giving one stock 120% upside  https://t.co/jPpdl0D9s4"
382,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
343,"Bernstein upgrades Alibaba, says shares can rally more than 20% from here  https://t.co/m3ApoPRGU0"",0"
62,"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD"
629,"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD"
361,"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD"
961,"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD"
678,"Analysts react to Netflix's strong quarter, with some pointing to a potential bottom for the stock  https://t.co/cQngJsyefD"
527,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
462,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
647,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
712,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
419,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
337,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
692,Barclays believes earnings for these underperforming stocks may surprise Wall Street  https://t.co/PHbsyVGAyE
6,"Buy Chevron as shares look attractive at these levels, HSBC says  https://t.co/GkDpFvxjEP"",0"
612,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
366,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
782,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
525,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
789,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
295,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
365,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
373,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
540,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
125,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
339,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
877,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
485,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
583,"Citi cuts Microsoft price target, citing foreign exchange headwinds  https://t.co/ZsnMboYnGw"
236,"Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  https://t.co/Z51h67lv4O"
617,"Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  https://t.co/99YkU9j8X2"
886,"Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6"
139,Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei
412,Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei
667,Morningstar strategist says two FAANG stocks look incredibly cheap right now  https://t.co/DKr5Q5o0ei
518,"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU"
900,"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU"
229,"Deutsche Bank downgrades General Motors, cites looming pricing risks to automakers  https://t.co/40yhalOoOU"
69,Morgan Stanley says these global stocks are set for earnings beats  and gives one over 45% upside
115,"Citi cuts Microsoft price target, citing foreign exchange headwinds  https://t.co/ZsnMboYnGw"
569,"Exchange operator Cboe is a buy as recession chances rise, Morgan Stanley says  https://t.co/Z51h67lv4O"
299,"Strong earnings may not be enough to bring Netflix out of its funk, Credit Suisse says  https://t.co/99YkU9j8X2"
300,"Tesla's bitcoin holdings could result in a $460 million hit for the carmaker, Barclays says  https://t.co/J50bSXAsf6"
